dM,dP,dS,dO,target
-225,251.5,-35.25,0,0
-225,-12.5,-2.25,0,0.3333333333333333
225,-0.5,62.75,0,0.6666666666666666
225,-310.5,6.5,0,1
-225,183.5,-61.5,0,0
-225,38.5,-39.5,0,0.3333333333333333
225,88.5,94.5,0,0.6666666666666666
250,-303.5,56.75,-25,1
-200,200.5,-78.25,75,0
-300,12.5,-56.25,-25,0.3333333333333333
250,90.5,77.75,-25,0.6666666666666666
250,-380.25,92.75,-50,1
-200,311.75,-83.25,-50,0
-300,51.75,-61.25,150,0.3333333333333333
250,16.75,51.75,-50,0.6666666666666666
250,-368.5,80.5,-25,1
-200,242.5,-32.5,75,0
-300,86.5,-128.5,-25,0.3333333333333333
250,39.5,80.5,-25,0.6666666666666666
250,-316.75,90.5,-25,1
-200,80.25,21.5,75,0
-300,-76.75,-118.5,-25,0.3333333333333333
250,313.25,6.5,-25,0.6666666666666666
275,-304,84.25,0,1
-275,49,-6.75,0,0
-275,-63,-77.75,0,0.3333333333333333
275,318,0.25,0,0.6666666666666666
300,-386,62.75,-237.5,1
-250,103,62.75,-287.5,0
-350,-147,-104.25,712.5,0.3333333333333333
300,430,-21.25,-187.5,0.6666666666666666
650,-162,92.25,-112.5,1
100,82,133.25,-162.5,0
-900,37,-233.75,337.5,0.3333333333333333
150,43,8.25,-62.5,0.6666666666666666
675,25.25,142.25,-12.5,1
125,283.25,84.25,-62.5,0
-975,-124.75,-228.75,137.5,0.3333333333333333
175,-183.75,2.25,-62.5,0.6666666666666666
675,23.25,89.25,-62.5,1
125,67.25,37.25,-12.5,0
-975,-127.75,-200.75,187.5,0.3333333333333333
175,37.25,74.25,-112.5,0.6666666666666666
700,-2,56.25,37.5,1
150,61,-45.75,-12.5,0
-1050,-131,-51.75,87.5,0.3333333333333333
200,72,41.25,-112.5,0.6666666666666666
725,-162.5,7.75,-62.5,1
75,63.5,-94.25,-12.5,0
-1025,185.5,180.75,87.5,0.3333333333333333
225,-86.5,-94.25,-12.5,0.6666666666666666
725,-275.5,39.25,412.5,1
75,176.5,-87.75,362.5,0
-1025,295.5,136.25,-337.5,0.3333333333333333
225,-196.5,-87.75,-437.5,0.6666666666666666
950,-148.5,30.5,-62.5,1
-600,141.5,-168.5,-112.5,0
-800,99.5,274.5,-112.5,0.3333333333333333
450,-92.5,-136.5,287.5,0.6666666666666666
1050,-93.75,-59.25,-62.5,1
-600,83.25,60.75,-212.5,0
-1000,42.25,46.75,87.5,0.3333333333333333
550,-31.75,-48.25,187.5,0.6666666666666666
1125,89.75,-69,-175,1
-525,33.75,33,-275,0
-925,37.75,94,-275,0.3333333333333333
325,-161.25,-58,725,0.6666666666666666
1125,-44,33.5,-287.5,1
-525,5,-301.5,462.5,0
-925,-2,223.5,112.5,0.3333333333333333
325,41,44.5,-287.5,0.6666666666666666
1125,5.25,39.25,-250,1
-525,67.25,-354.75,600,0
-925,-54.75,265.25,-200,0.3333333333333333
325,-17.75,50.25,-150,0.6666666666666666
1837.5,160,49.25,-375,1
-1062.5,-162,-344.75,-275,0
-1012.5,-139,275.25,25,0.3333333333333333
237.5,141,20.25,625,0.6666666666666666
1837.5,-1.75,57,-125,1
-1062.5,-103.75,-265,-125,0
-1012.5,146.25,224,275,0.3333333333333333
237.5,-40.75,-16,-25,0.6666666666666666
1837.5,-58,184,425,1
-1062.5,291,-443,-175,0
-1012.5,-133,188,-175,0.3333333333333333
237.5,-100,71,-75,0.6666666666666666
1837.5,1,371.25,-50,1
-1062.5,145,-361.75,50,0
-1012.5,-102,-267.75,-50,0.3333333333333333
237.5,-44,258.25,50,0.6666666666666666
2437.5,-105.25,415,625,1
-1262.5,468.75,-424,-175,0
-1212.5,-229.25,-293,-275,0.3333333333333333
37.5,-134.25,302,-175,0.6666666666666666
2437.5,46.5,328.5,-25,1
-1262.5,-29.5,-286.5,75,0
-1212.5,-49.5,-129.5,-25,0.3333333333333333
37.5,32.5,87.5,-25,0.6666666666666666
2437.5,46.5,191.75,-25,1
-1262.5,-39.5,204.75,75,0
-1212.5,-43.5,-347.25,-25,0.3333333333333333
37.5,36.5,-49.25,-25,0.6666666666666666
2437.5,-68,129.25,-300,1
-1262.5,-142,209.25,-100,0
-1212.5,65,-313.75,-300,0.3333333333333333
37.5,145,-24.75,700,0.6666666666666666
2437.5,53.75,146,-25,1
-1262.5,-44.25,-25,75,0
-1212.5,-66.25,-194,-125,0.3333333333333333
37.5,56.75,73,75,0.6666666666666666
2387.5,-98,257,0,1
-1212.5,-158,64,0,0
-1162.5,53,-270,100,0.3333333333333333
-12.5,203,-51,-100,0.6666666666666666
2162.5,-16.25,133.75,-100,1
-1137.5,-104.25,242.75,100,0
-1087.5,-120.25,-279.25,-100,0.3333333333333333
62.5,240.75,-97.25,100,0.6666666666666666
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0.6666666666666666
0,0,0,0,0.3333333333333333
0,-46.25,15.75,0,1
0,-56.25,62.75,0,0
0,55.75,-28.25,0,0.6666666666666666
0,46.75,-50.25,0,0.3333333333333333
0,-61.75,-28.25,0,1
0,-26.75,62.75,0,0
0,47.25,-28.25,0,0.6666666666666666
0,41.25,-6.25,0,0.3333333333333333
0,-68.25,-39.25,0,1
0,-35.25,51.75,0,0
0,32.75,4.75,0,0.6666666666666666
0,70.75,-17.25,0,0.3333333333333333
0,-77.25,-29,0,1
0,-13.25,18,0,0
0,27.75,-7,0,0.6666666666666666
0,62.75,18,0,0.3333333333333333
0,-13.5,-57.25,0,1
0,-72.5,124.75,0,0
0,-28.5,-35.25,0,0.6666666666666666
0,114.5,-32.25,0,0.3333333333333333
0,-24.25,-19.5,0,1
0,-76.25,67.5,0,0
0,-42.25,-28.5,0,0.6666666666666666
0,142.75,-19.5,0,0.3333333333333333
0,-23.75,-19.5,0,1
0,-78.75,67.5,0,0
0,-34.75,-28.5,0,0.6666666666666666
0,137.25,-19.5,0,0.3333333333333333
0,-26,-29.75,0,1
0,-77,98.25,0,0
0,-35,-38.75,0,0.6666666666666666
0,138,-29.75,0,0.3333333333333333
0,-80.25,-78.5,0,1
0,90.75,63.5,0,0
0,-91.25,-2.5,0,0.6666666666666666
0,80.75,17.5,0,0.3333333333333333
-225,-170.25,-84,-562.5,1
75,126.75,178,787.5,0
75,-197.25,42,-562.5,0.6666666666666666
75,240.75,-136,337.5,0.3333333333333333
-112.5,-84.25,-97.25,0,1
-262.5,85.75,73.75,0,0
187.5,-201.25,94.75,0,0.6666666666666666
187.5,199.75,-71.25,0,0.3333333333333333
-87.5,-95.75,-54.5,-50,1
-237.5,71.25,-54.5,-50,0
112.5,-188.75,137.5,50,0.6666666666666666
212.5,213.25,-28.5,50,0.3333333333333333
-87.5,-92.75,-119,-75,1
-237.5,88.25,-16,-75,0
112.5,-197.75,203,125,0.6666666666666666
212.5,202.25,-68,25,0.3333333333333333
-62.5,-27.5,-206.75,-300,1
-212.5,-120.5,13.25,100,0
37.5,-244.5,232.25,500,0.6666666666666666
237.5,392.5,-38.75,-300,0.3333333333333333
112.5,-153.25,-160.75,-337.5,1
-337.5,-225.25,-171.75,162.5,0
-87.5,105.75,296.25,612.5,0.6666666666666666
312.5,272.75,36.25,-437.5,0.3333333333333333
250,43.75,-71.25,262.5,1
-300,203.75,-123.25,-637.5,0
-400,76.75,79.75,662.5,0.6666666666666666
450,-324.25,114.75,-287.5,0.3333333333333333
-350,-116.75,-50.75,-200,1
-300,74.25,-41.75,-100,0
-100,49.25,32.25,600,0.6666666666666666
750,-6.75,60.25,-300,0.3333333333333333
-325,-80.25,-142.25,75,1
-375,-137.25,108.75,-25,0
-75,152.75,2.75,-25,0.6666666666666666
775,64.75,30.75,-25,0.3333333333333333
-100,-67,-225.25,-350,1
-150,-124,169.75,-350,0
-750,116,-12.25,150,0.6666666666666666
1000,75,67.75,550,0.3333333333333333
125,3.5,-189.5,0,1
75,-64.5,136.5,0,0
-525,-44.5,35.5,0,0.6666666666666666
325,105.5,17.5,0,0.3333333333333333
125,30.5,-161,687.5,1
75,-54.5,111,-262.5,0
-525,-144.5,39,-262.5,0.6666666666666666
325,168.5,11,-162.5,0.3333333333333333
-100,-28.75,-201,350,1
300,2.25,150,-150,0
-300,-81.75,27,-150,0.6666666666666666
100,108.25,24,-50,0.3333333333333333
-100,168.75,13.25,150,1
300,-25.25,70.25,550,0
-300,-101.25,-27.75,-350,0.6666666666666666
100,-42.25,-55.75,-350,0.3333333333333333
-100,174.75,-55.75,125,1
300,-39.25,-3.75,525,0
-300,-98.25,180.25,-375,0.6666666666666666
100,-37.25,-120.75,-275,0.3333333333333333
-100,116.5,-67.5,125,1
300,33.5,-10.5,525,0
-300,-163.5,214.5,-375,0.6666666666666666
100,13.5,-136.5,-275,0.3333333333333333
-100,91.25,-87.25,150,1
300,8.25,-5.25,550,0
-300,-197.75,248.75,-350,0.6666666666666666
100,98.25,-156.25,-350,0.3333333333333333
-100,93.75,-80.75,150,1
300,7.75,-51.75,550,0
-300,-198.25,201.25,-350,0.6666666666666666
100,96.75,-68.75,-350,0.3333333333333333
500,208.75,55.25,400,1
100,337.75,-101.75,500,0
-500,-311.25,81.25,-500,0.6666666666666666
-100,-235.25,-34.75,-400,0.3333333333333333
500,133.75,53.25,425,1
100,371.75,-106.75,525,0
-500,-288.25,103.25,-475,0.6666666666666666
-100,-217.25,-49.75,-475,0.3333333333333333
500,193.75,49,450,1
100,344.75,-111,450,0
-500,-301.25,169,-550,0.6666666666666666
-100,-237.25,-107,-350,0.3333333333333333
500,73.75,85,425,1
200,310.75,-112,525,0
-400,-111.25,153,-475,0.6666666666666666
-300,-273.25,-126,-475,0.3333333333333333
500,31,45.5,575,1
200,26,17.5,475,0
-400,51,165.5,-525,0.6666666666666666
-300,-108,-228.5,-525,0.3333333333333333
500,-14,7,112.5,1
200,0,-21,512.5,0
-400,25,142,-237.5,0.6666666666666666
-300,-11,-128,-387.5,0.3333333333333333
500,9.75,-14.25,-287.5,1
200,-89.25,39.75,612.5,0
-400,59.75,35.75,-137.5,0.6666666666666666
-300,19.75,-61.25,-187.5,0.3333333333333333
650,125.75,4.5,-387.5,1
350,28.75,109.5,612.5,0
-750,-166.25,122.5,-387.5,0.6666666666666666
-250,11.75,-236.5,162.5,0.3333333333333333
0,0,0,0,0.6666666666666666
0,0,0,0,0.3333333333333333
0,0,0,0,0
0,0,0,0,1
0,-56,51,0,0.6666666666666666
0,-56,29,0,0.3333333333333333
0,56,-40,0,0
0,56,-40,0,1
0,-62.5,22.75,0,0.6666666666666666
0,-61.5,47.75,0,0.3333333333333333
0,38.5,-46.25,0,0
0,85.5,-24.25,0,1
137.5,-4.5,39.25,0,0.6666666666666666
137.5,-117.5,59.25,0,0.3333333333333333
-312.5,-133.5,-85.75,0,0
37.5,255.5,-12.75,0,1
137.5,-7.25,-18.5,-112.5,0.6666666666666666
137.5,-115.25,114.5,-112.5,0.3333333333333333
-312.5,-132.25,-46.5,337.5,0
37.5,254.75,-49.5,-112.5,1
137.5,4.75,58.5,-75,0.6666666666666666
137.5,-121.25,58.5,225,0.3333333333333333
-312.5,-130.25,-147.5,-75,0
37.5,246.75,30.5,-75,1
137.5,57.75,79.5,-25,0.6666666666666666
137.5,-82.25,38.5,-25,0.3333333333333333
-312.5,-198.25,-173.5,75,0
37.5,222.75,55.5,-25,1
162.5,-222.25,120.75,-537.5,0.6666666666666666
162.5,-191.25,38.75,62.5,0.3333333333333333
-387.5,370.75,-215.25,112.5,0
62.5,42.75,55.75,362.5,1
362.5,-131.75,22.75,-125,0.6666666666666666
-137.5,-159.75,2.75,375,0.3333333333333333
-487.5,32.25,-143.25,-125,0
262.5,259.25,117.75,-125,1
362.5,-34.5,134.75,-125,0.6666666666666666
-137.5,-129.5,-41.25,375,0.3333333333333333
-487.5,28.5,-187.25,-125,0
262.5,135.5,93.75,-125,1
362.5,15.75,97.5,-100,0.6666666666666666
-137.5,-44.25,-31.5,300,0.3333333333333333
-487.5,-152.25,-147.5,-100,0
262.5,180.75,81.5,-100,1
362.5,32.5,-11.25,-25,0.6666666666666666
-137.5,-28.5,-25.25,-25,0.3333333333333333
-487.5,-210.5,-158.25,75,0
262.5,206.5,194.75,-25,1
362.5,20.25,7.5,-50,0.6666666666666666
-137.5,-37.75,-31.5,-50,0.3333333333333333
-487.5,-198.75,-164.5,50,0
262.5,216.25,188.5,50,1
162.5,-9,31.75,-275,0.6666666666666666
-337.5,-126,-22.25,-275,0.3333333333333333
-687.5,-257,-207.25,825,0
862.5,392,197.75,-275,1
162.5,-291.5,-94.5,-375,0.6666666666666666
-337.5,379.5,-66.5,-375,0.3333333333333333
-687.5,-424.5,-154.5,525,0
862.5,336.5,315.5,225,1
162.5,-196.75,-120.25,-350,0.6666666666666666
-337.5,341.25,-23.25,-350,0.3333333333333333
-687.5,-453.75,-163.25,550,0
862.5,309.25,306.75,150,1
237.5,5.25,-72.75,-12.5,0.6666666666666666
-262.5,91.25,33.25,-462.5,0.3333333333333333
-612.5,-371.75,-106.75,437.5,0
637.5,275.25,146.25,37.5,1
-100,-142.5,-215,-375,0.6666666666666666
-150,175.5,65,-375,0.3333333333333333
-500,-285.5,-75,525,0
750,252.5,225,225,1
-100,-137.5,-199,-400,0.6666666666666666
-150,176.5,29,-400,0.3333333333333333
-500,-288.5,-59,600,0
750,249.5,229,200,1
-100,38.5,-136.5,-325,0.6666666666666666
-150,116.5,91.5,-425,0.3333333333333333
-500,-345.5,3.5,575,0
750,190.5,41.5,175,1
-100,-24.75,-152.25,-275,0.6666666666666666
-150,61.25,98.75,-275,0.3333333333333333
-500,-286.75,-12.25,725,0
750,250.25,65.75,-175,1
-300,-118.75,-146.25,-250,0.6666666666666666
450,217.25,197.75,-250,0.3333333333333333
-700,-155.75,-116.25,750,0
550,57.25,64.75,-250,1
-300,-44.5,99.5,-225,0.6666666666666666
450,378.5,124.5,-225,0.3333333333333333
-700,-218.5,-215.5,675,0
550,-115.5,-8.5,-225,1
-300,-82.75,70.75,-225,0.6666666666666666
450,352.25,271.75,-225,0.3333333333333333
-700,-254.75,-223.25,675,0
550,-14.75,-119.25,-225,1
-412.5,-22.75,65.5,-225,0.6666666666666666
187.5,285.25,161.5,-225,0.3333333333333333
-512.5,-305.75,-152.5,675,0
737.5,43.25,-74.5,-225,1
-412.5,-414,82,-225,0.6666666666666666
187.5,452,156,-225,0.3333333333333333
-512.5,-135,-158,675,0
737.5,97,-80,-225,1
-412.5,-126,65.25,-225,0.6666666666666666
187.5,263,159.25,-225,0.3333333333333333
-512.5,-293,-99.75,675,0
737.5,156,-124.75,-225,1
-612.5,-126,47.25,-225,0.6666666666666666
-12.5,258,134.25,-225,0.3333333333333333
-712.5,-299,-128.75,675,0
1337.5,167,-52.75,-225,1
-612.5,-66.5,33.5,-225,0.6666666666666666
-12.5,310.5,157.5,-225,0.3333333333333333
-712.5,-245.5,-133.5,675,0
1337.5,1.5,-57.5,-225,1
-612.5,0,73,-225,0.6666666666666666
-12.5,362,115,-225,0.3333333333333333
-712.5,-419,-145,675,0
1337.5,57,-43,-225,1
-612.5,35,-27.5,-225,0.6666666666666666
-12.5,190,69.5,-225,0.3333333333333333
-712.5,-367,-93.5,675,0
1337.5,142,51.5,-225,1
-612.5,-21,-58.5,-250,0.6666666666666666
-12.5,134,85.5,-150,0.3333333333333333
-712.5,-196,-94.5,650,0
1337.5,83,67.5,-250,1
-612.5,-183.5,-110,-250,0.6666666666666666
-12.5,424.5,184,-250,0.3333333333333333
-712.5,-365.5,-98,750,0
1337.5,124.5,24,-250,1
-612.5,-122.5,-90.75,-275,0.6666666666666666
-12.5,254.5,203.25,-175,0.3333333333333333
-712.5,-309.5,-155.75,725,0
1337.5,177.5,43.25,-275,1
-612.5,-112.75,0.5,-275,0.6666666666666666
-12.5,231.25,119.5,-175,0.3333333333333333
-712.5,-301.75,-159.5,725,0
1337.5,183.25,39.5,-275,1
-212.5,411.75,28.75,-500,0.6666666666666666
-412.5,-172.25,85.75,-400,0.3333333333333333
-1112.5,-480.25,-182.25,500,0
1737.5,240.75,67.75,400,1
-212.5,125.5,168.5,-275,0.6666666666666666
-412.5,5.5,12.5,-175,0.3333333333333333
-1112.5,-525.5,-255.5,725,0
1737.5,394.5,74.5,-275,1
-212.5,-175,225.25,-275,0.6666666666666666
-412.5,-38,47.25,-175,0.3333333333333333
-1112.5,-130,-220.75,725,0
1737.5,343,-51.75,-275,1
-212.5,-176,225.25,-275,0.6666666666666666
-412.5,-40,47.25,-175,0.3333333333333333
-1112.5,-130,-220.75,725,0
1737.5,346,-51.75,-275,1
-412.5,-18.25,253,-275,0.6666666666666666
187.5,-83.25,64,-175,0.3333333333333333
-1312.5,-187.25,-276,725,0
1537.5,288.75,-41,-275,1
-412.5,-70.5,231,-275,0.6666666666666666
187.5,-136.5,-24,-175,0.3333333333333333
-1312.5,-15.5,-246,725,0
1537.5,222.5,39,-275,1
-412.5,-217.25,42.5,-275,0.6666666666666666
187.5,-277.25,22.5,-175,0.3333333333333333
-1312.5,193.75,-173.5,725,0
1537.5,300.75,108.5,-275,1
-412.5,-292.75,-23.5,-375,0.6666666666666666
187.5,-352.75,44.5,125,0.3333333333333333
-1312.5,-15.75,-151.5,625,0
1537.5,661.25,130.5,-375,1
187.5,124,5.5,-275,0.6666666666666666
-12.5,-414,-38.5,-175,0.3333333333333333
-1512.5,150,-173.5,725,0
1337.5,140,206.5,-275,1
412.5,77,9.25,-475,0.6666666666666666
-687.5,-269,9.25,-375,0.3333333333333333
-1287.5,-131,-228.75,425,0
1562.5,323,210.25,425,1
412.5,-9,71.5,-100,0.6666666666666666
-687.5,-462,-60.5,-200,0.3333333333333333
-1287.5,241,-195.5,600,0
1562.5,230,184.5,-300,1
412.5,208,209,-100,0.6666666666666666
-687.5,-353,-65,-200,0.3333333333333333
-1287.5,130,-262,600,0
1562.5,15,118,-300,1
437.5,79.75,355.25,-587.5,0.6666666666666666
-662.5,-234.25,-206.75,-687.5,0.3333333333333333
-1362.5,241.75,-296.75,1162.5,0
1587.5,-87.25,148.25,112.5,1
437.5,-201.5,340.5,-787.5,0.6666666666666666
-662.5,-467.5,-122.5,-487.5,0.3333333333333333
-1362.5,327.5,-288.5,962.5,0
1587.5,341.5,70.5,312.5,1
787.5,97.75,277.75,-787.5,0.6666666666666666
-1212.5,-204.25,50.75,-487.5,0.3333333333333333
-1012.5,-3.25,-323.25,962.5,0
1437.5,109.75,-5.25,312.5,1
862.5,152,291.5,-1037.5,0.6666666666666666
-2037.5,-237,-35.5,-637.5,0.3333333333333333
-637.5,-75,-198.5,912.5,0
1812.5,160,-57.5,762.5,1
1087.5,127.25,416.25,100,0.6666666666666666
-1812.5,-206.75,-196.75,-750,0.3333333333333333
-412.5,-140.75,-78.75,200,0
1137.5,220.25,-140.75,450,1
712.5,129.75,391.5,-637.5,0.6666666666666666
-1687.5,-322.25,-200.5,-287.5,0.3333333333333333
-287.5,-35.25,-120.5,312.5,0
1262.5,227.75,-70.5,612.5,1
825,-15.25,348,-412.5,0.6666666666666666
-1575,-231.25,13,-512.5,0.3333333333333333
-175,55.75,-225,87.5,0
925,190.75,-136,837.5,1
412.5,-236.75,332,-600,0.6666666666666666
-1437.5,-189.75,-3,-150,0.3333333333333333
-37.5,88.25,-189,450,0
1062.5,338.25,-140,300,1
412.5,-191.5,150.75,-487.5,0.6666666666666666
-1437.5,-171.5,40.75,-487.5,0.3333333333333333
-37.5,116.5,-120.25,562.5,0
1062.5,246.5,-71.25,412.5,1
412.5,-199.5,124.75,-462.5,0.6666666666666666
-1437.5,48.5,14.75,-12.5,0.3333333333333333
-37.5,-119.5,-94.25,937.5,0
1062.5,270.5,-45.25,-462.5,1
412.5,-342.5,170,-450,0.6666666666666666
-1437.5,-85.5,17,-450,0.3333333333333333
-37.5,66.5,-92,450,0
1062.5,361.5,-95,450,1
537.5,-353.25,185,-600,0.6666666666666666
-1812.5,-9.25,-28,-500,0.3333333333333333
87.5,35.75,-77,300,0
1187.5,326.75,-80,800,1
687.5,27.75,108.75,-437.5,0.6666666666666666
-1762.5,-70.25,96.75,212.5,0.3333333333333333
237.5,-328.25,-101.25,462.5,0
837.5,370.75,-104.25,-237.5,1
687.5,-23,149.75,-250,0.6666666666666666
-1762.5,-41,-26.25,-150,0.3333333333333333
237.5,-320,-60.25,650,0
837.5,384,-63.25,-250,1
687.5,-32.5,102.25,-325,0.6666666666666666
-1762.5,-38.5,22.25,-225,0.3333333333333333
237.5,-324.5,-60.75,575,0
837.5,395.5,-63.75,-25,1
687.5,70,102.25,-375,0.6666666666666666
-1762.5,-151,-37.75,-475,0.3333333333333333
237.5,-441,-30.75,425,0
837.5,522,-33.75,425,1
1137.5,143.25,59.75,612.5,0.6666666666666666
-1312.5,-219.75,123.75,-337.5,0.3333333333333333
-212.5,-423.75,-208.25,-237.5,0
387.5,500.25,24.75,-37.5,1
462.5,-83.75,6.5,50,0.6666666666666666
-1087.5,-82.75,193.5,-50,0.3333333333333333
12.5,-172.75,-138.5,50,0
612.5,339.25,-61.5,-50,1
462.5,-93.75,20,-25,0.6666666666666666
-1087.5,-47.75,150,-25,0.3333333333333333
12.5,-177.75,-120,75,0
612.5,319.25,-50,-25,1
462.5,-93.75,80.25,-25,0.6666666666666666
-1087.5,-50.75,119.25,-25,0.3333333333333333
12.5,-174.75,-63.75,75,0
612.5,319.25,-135.75,-25,1
462.5,-115.75,21,-50,0.6666666666666666
-1087.5,-30.75,111,50,0.3333333333333333
12.5,-156.75,33,50,0
612.5,303.25,-165,-50,1
462.5,45.25,-65,-75,0.6666666666666666
-1087.5,-112.75,167,25,0.3333333333333333
12.5,-241.75,104,125,0
612.5,309.25,-206,-75,1
37.5,-105,-111.25,-75,0.6666666666666666
-612.5,-41,205.75,25,0.3333333333333333
387.5,-140,119.75,125,0
187.5,286,-214.25,-75,1
-162.5,-119.75,-39.25,-225,0.6666666666666666
-12.5,-56.75,368.75,575,0.3333333333333333
187.5,41.25,-187.25,-125,0
-12.5,135.25,-142.25,-225,1
-162.5,-176.5,51.75,-212.5,0.6666666666666666
-12.5,4.5,317.75,537.5,0.3333333333333333
187.5,-16.5,-176.25,-62.5,0
-12.5,188.5,-193.25,-262.5,1
437.5,-132.25,-19.5,437.5,0.6666666666666666
-212.5,36.75,281.5,-212.5,0.3333333333333333
-12.5,-223.25,73.5,-12.5,0
-212.5,318.75,-335.5,-212.5,1
437.5,155.75,-88.5,-462.5,0.6666666666666666
-212.5,-123.25,304.5,887.5,0.3333333333333333
-12.5,-235.25,96.5,-262.5,0
-212.5,202.75,-312.5,-162.5,1
437.5,-43.75,68.75,-50,0.6666666666666666
-212.5,253.25,216.75,-50,0.3333333333333333
-12.5,-326.75,8.75,150,0
-212.5,117.25,-294.25,-50,1
550,10,98.75,500,0.6666666666666666
-550,42,70.75,-400,0.3333333333333333
100,-70,66.75,300,0
-100,18,-236.25,-400,1
-125,-53,-76.75,-275,0.6666666666666666
-325,19,237.25,625,0.3333333333333333
325,-88,71.25,-75,0
125,122,-231.75,-275,1
-125,-139.75,4.25,100,0.6666666666666666
-325,-75.75,241.25,-100,0.3333333333333333
325,-177.75,35.25,100,0
125,393.25,-280.75,-100,1
-125,-109.75,11.25,-50,0.6666666666666666
-325,-47.75,312.25,-50,0.3333333333333333
325,-144.75,-3.75,150,0
125,302.25,-319.75,-50,1
-125,-233,-30.75,-50,0.6666666666666666
-325,64,326.25,-50,0.3333333333333333
325,-252,10.25,150,0
125,421,-305.75,-50,1
-125,-106.75,104.5,-50,0.6666666666666666
-325,-52.75,32.5,-50,0.3333333333333333
325,-143.75,89.5,150,0
125,303.25,-226.5,-50,1
-125,-94,154.25,-75,0.6666666666666666
-325,-16,26.25,-75,0.3333333333333333
325,-129,-10.75,125,0
125,239,-169.75,25,1
-100,-75.75,87,-125,0.6666666666666666
-400,-58.75,-26,-125,0.3333333333333333
350,-112.75,31,75,0
150,247.25,-92,175,1
-300,-53.75,24.5,25,0.6666666666666666
-600,-30.75,248.5,-75,0.3333333333333333
150,-84.75,-118.5,125,0
750,169.25,-154.5,-75,1
-300,-61.5,117,0,0.6666666666666666
-600,-22.5,131,-100,0.3333333333333333
150,-80.5,-41,100,0
750,164.5,-207,0,1
-375,-108.25,128.75,-75,0.6666666666666666
-575,-77.25,-98.25,-75,0.3333333333333333
175,94.75,57.75,125,0
775,90.75,-88.25,25,1
-375,-57,119.5,-75,0.6666666666666666
-575,-15,-70.5,-75,0.3333333333333333
175,-76,48.5,125,0
775,148,-97.5,25,1
-375,-209,118,-412.5,0.6666666666666666
-575,-182,41,-412.5,0.3333333333333333
175,425,47,237.5,0
775,-34,-206,587.5,1
-375,-214.25,92.75,-412.5,0.6666666666666666
-575,-194.25,61.75,-412.5,0.3333333333333333
175,437.75,21.75,237.5,0
775,-29.25,-176.25,587.5,1
-350,-220,185.75,-500,0.6666666666666666
-550,-185,-129.25,-500,0.3333333333333333
200,436,163.75,150,0
700,-31,-220.25,850,1
-350,-220,25.5,-462.5,0.6666666666666666
-550,-158,-44.5,-462.5,0.3333333333333333
200,424,161.5,187.5,0
700,-46,-142.5,737.5,1
-350,-226.75,-36.75,-387.5,0.6666666666666666
-550,-151.75,103.25,-387.5,0.3333333333333333
200,424.25,-2.75,262.5,0
700,-45.75,-63.75,512.5,1
-350,-117.25,-5.75,-387.5,0.6666666666666666
-550,-41.25,75.25,-387.5,0.3333333333333333
200,91.75,19.25,262.5,0
700,66.75,-88.75,512.5,1
-350,-59.5,-8.5,-75,0.6666666666666666
-550,9.5,102.5,-75,0.3333333333333333
200,-76.5,-98.5,125,0
700,126.5,4.5,25,1
-350,-111.25,35.5,625,0.6666666666666666
-550,-44.25,142.5,-275,0.3333333333333333
200,88.75,-238.5,-75,0
700,66.75,60.5,-275,1
-350,-64.25,-55.25,-200,0.6666666666666666
-550,4.75,64.75,-200,0.3333333333333333
200,-81.25,-5.25,500,0
700,140.75,-4.25,-100,1
-350,-64,43,-275,0.6666666666666666
-550,-209,-118,-275,0.3333333333333333
200,144,68,375,0
700,129,7,175,1
-350,-63.75,-12,-275,0.6666666666666666
-550,-208.75,262,-275,0.3333333333333333
200,144.25,-62,375,0
700,128.25,-188,175,1
-350,113.5,17.75,-275,0.6666666666666666
-550,-25.5,280.75,625,0.3333333333333333
200,-142.5,-165.25,-75,0
700,54.5,-133.25,-275,1
-350,21.25,143.75,-50,0.6666666666666666
-550,-152.75,83.75,-50,0.3333333333333333
200,-24.75,9.75,150,0
700,156.25,-237.25,-50,1
-350,27.5,146.75,-75,0.6666666666666666
-550,-154.5,-96.25,-75,0.3333333333333333
200,-26.5,193.75,125,0
700,153.5,-244.25,25,1
-325,-105.5,119.75,-37.5,0.6666666666666666
-625,127.5,-22.25,-537.5,0.3333333333333333
225,74.5,173.75,112.5,0
725,-96.5,-271.25,462.5,1
-325,-63.5,-159,-37.5,0.6666666666666666
-625,-44.5,72,-537.5,0.3333333333333333
225,-97.5,215,112.5,0
725,205.5,-128,462.5,1
0,0,0,0,0
0,0,0,0,0.6666666666666666
0,0,0,0,0.3333333333333333
0,0,0,0,1
0,-55,-5.5,0,0
0,55,16.5,0,0.6666666666666666
0,57,16.5,0,0.3333333333333333
0,-57,-27.5,0,1
0,-61,-112.5,0,0
0,-63,85.5,0,0.6666666666666666
0,152,35.5,0,0.3333333333333333
0,-28,-8.5,0,1
0,-61.75,-61.5,0,0
0,-63.75,39.5,0,0.6666666666666666
0,154.25,-12.5,0,0.3333333333333333
0,-28.75,34.5,0,1
0,-73.75,-89.75,0,0
0,-39.75,11.25,0,0.6666666666666666
0,151.25,-18.75,0,0.3333333333333333
0,-37.75,97.25,0,1
0,-71.25,-61.25,0,0
0,-37.25,94.75,0,0.6666666666666666
