dM,dP,dS,dO,target
887.5,12.25,97,-250,0.6666666666666666
-162.5,-145,-5.25,-325,1
-1762.5,-39,-141.25,-225,0
1037.5,195,55.75,675,0.3333333333333333
887.5,-11,90.75,-125,0.6666666666666666
-162.5,-283,-41.25,-300,1
-1762.5,-52,-129.25,-200,0
1037.5,387,67.75,600,0.3333333333333333
887.5,-52,102.75,-100,0.6666666666666666
-162.5,-57,37.5,-300,1
-1762.5,-50,-177.5,-200,0
1037.5,273,62.5,600,0.3333333333333333
887.5,-166,77.5,-100,0.6666666666666666
-87.5,-230.25,69.25,50,1
-1687.5,-1.25,-198.75,-350,0
1112.5,189.75,51.25,750,0.3333333333333333
662.5,41.75,78.25,-450,0.6666666666666666
-12.5,-108.75,61.5,-312.5,1
-1612.5,-8.75,-37.5,-212.5,0
887.5,107.25,-125.5,837.5,0.3333333333333333
737.5,10.25,101.5,-312.5,0.6666666666666666
775,20.5,68.5,-275,1
-1625,-128.5,-58.5,-175,0
425,115.5,-118.5,725,0.3333333333333333
425,-7.5,108.5,-275,0.6666666666666666
775,201,29.5,-50,1
-1625,-182,-41.5,50,0
425,51,-57.5,50,0.3333333333333333
425,-70,69.5,-50,0.6666666666666666
775,80,29.5,-50,1
-1625,-293,-41.5,50,0
425,173,-57.5,50,0.3333333333333333
425,40,69.5,-50,0.6666666666666666
775,84.25,101.75,-162.5,1
-1625,-177.75,-49.25,-62.5,0
425,61.25,-114.25,287.5,0.3333333333333333
425,32.25,61.75,-62.5,0.6666666666666666
775,113.75,47.25,-75,1
-1625,-259.25,-60.75,25,0
425,83.75,-76.75,25,0.3333333333333333
425,61.75,90.25,25,0.6666666666666666
775,114,44,-75,1
-1625,-260,17,25,0
425,92,-80,25,0.3333333333333333
425,54,19,25,0.6666666666666666
775,115.25,37.75,-75,1
-1625,-263.75,10.75,25,0
425,97.25,-61.25,25,0.3333333333333333
425,51.25,12.75,25,0.6666666666666666
775,86.75,106,-250,1
-1625,-265.25,-62,-150,0
425,339.75,-53,-150,0.3333333333333333
425,-161.25,9,550,0.6666666666666666
800,115.25,93.25,-12.5,1
-1700,-269.75,-52.75,-62.5,0
450,290.25,-18.75,137.5,0.3333333333333333
450,-135.75,-21.75,-62.5,0.6666666666666666
800,157.25,60.25,12.5,1
-1700,-229.75,-41.75,-37.5,0
450,128.25,-7.75,62.5,0.3333333333333333
450,-55.75,-10.75,-37.5,0.6666666666666666
800,147.25,48.25,12.5,1
-1700,-248.75,-37.75,-37.5,0
450,75.25,-3.75,62.5,0.3333333333333333
450,26.25,-6.75,-37.5,0.6666666666666666
825,147,31,37.5,1
-1675,-252,-55,-12.5,0
375,75,23,-12.5,0.3333333333333333
475,30,1,-12.5,0.6666666666666666
825,212.25,115.25,0,1
-1675,-193.75,-10.75,0,0
375,12.25,-124.75,0,0.3333333333333333
475,-30.75,20.25,0,0.6666666666666666
825,201.75,210,-50,1
-1675,-232.25,-175,-50,0
375,-22.25,-110,-50,0.3333333333333333
475,52.75,75,150,0.6666666666666666
825,139.5,216.25,0,1
-1675,-130.5,-168.75,0,0
375,-43.5,-128.75,0,0.3333333333333333
475,34.5,81.25,0,0.6666666666666666
650,214,175,-375,1
-1850,-419,-195,-375,0
1000,-321,-155,525,0.3333333333333333
200,526,175,225,0.6666666666666666
1100,-16,144.5,462.5,1
-1400,-212,154.5,-487.5,0
550,-40,-65.5,-487.5,0.3333333333333333
-250,268,-233.5,512.5,0.6666666666666666
425,182.5,5.5,-87.5,1
-1175,-206.5,-31.5,-137.5,0
775,-30.5,35.5,-137.5,0.3333333333333333
-25,54.5,-9.5,362.5,0.6666666666666666
425,136.5,9.25,-75,1
-1175,-267.5,-218.75,-125,0
775,142.5,67.25,325,0.3333333333333333
-25,-11.5,142.25,-125,0.6666666666666666
425,132,-10.75,37.5,1
-1175,-266,-238.75,-12.5,0
775,142,127.25,-12.5,0.3333333333333333
-25,-8,122.25,-12.5,0.6666666666666666
425,187,-123,12.5,1
-1175,-211,-212,-37.5,0
775,-16,130,-37.5,0.3333333333333333
-25,40,205,62.5,0.6666666666666666
425,14.5,-58.75,300,1
-1175,-156.5,-212.75,-100,0
775,-71.5,98.25,-100,0.3333333333333333
-25,213.5,173.25,-100,0.6666666666666666
225,445.5,-45.25,-62.5,1
-1375,-263.5,-318.25,-112.5,0
575,-71.5,176.75,-112.5,0.3333333333333333
575,-110.5,186.75,287.5,0.6666666666666666
225,124.25,-79.5,12.5,1
-1375,-148.75,-295.5,-37.5,0
575,43.25,222.5,-37.5,0.3333333333333333
575,-18.75,152.5,62.5,0.6666666666666666
225,-7.75,-13.75,-25,1
-1375,-58.75,-361.75,-25,0
575,-4.75,208.25,-25,0.3333333333333333
575,71.25,167.25,75,0.6666666666666666
225,163.75,-267.25,-287.5,1
-1375,-112.25,58.75,-387.5,0
575,-58.25,103.75,62.5,0.3333333333333333
575,6.75,104.75,612.5,0.6666666666666666
150,-201.5,-125,-25,1
-1350,-1.5,-269,-25,0
600,63.5,212,-25,0.3333333333333333
600,139.5,182,75,0.6666666666666666
375,-71,51.75,650,1
-1125,-111,-331.25,-250,0
825,-30,174.75,-250,0.3333333333333333
-75,212,104.75,-150,0.6666666666666666
-300,-33.5,-35.5,0,1
-900,-45.5,-188.5,0,0
1050,32.5,114.5,0,0.3333333333333333
150,46.5,109.5,0,0.6666666666666666
-300,-27.25,33.25,0,1
-900,-40.25,-184.75,0,0
1050,40.75,118.25,0,0.3333333333333333
150,26.75,33.25,0,0.6666666666666666
-500,-40.25,31.75,325,1
-1100,-41.25,-130.25,-175,0
1650,52.75,172.75,-175,0.3333333333333333
-50,28.75,-74.25,25,0.6666666666666666
-362.5,-109.5,51.75,-50,1
-962.5,-215.5,-110.25,-50,0
1687.5,222.5,112.75,-50,0.3333333333333333
-362.5,102.5,-54.25,150,0.6666666666666666
-212.5,42.5,-9.25,-25,1
-812.5,-88.5,-9.25,-25,0
1337.5,-86.5,213.75,-25,0.3333333333333333
-312.5,132.5,-195.25,75,0.6666666666666666
